English,Urdu
how curious,میں بہت مختصر ہوں
i am too short,میں ٹام کو یہ دکھاتا ہوں
i will show that to tom,یہ ایک بہت بڑا نقصان ہے
this is a huge loss,کوئی دیوتا نہیں ہیں
there are no gods,وہ تیرنا پسند کرتا ہے
he likes to swim,یہ زین قبر ہے
this is zains grave,میں نے پہلے ہی ایسا کیا
i already did that,وہ میری قسم نہیں ہے
shes not my type,زین شروع ہو جائے گا
zain will start,میں بھی ایسا ہی چاہتا ہوں
i want the same,مجھے لگتا ہے کہ وہ صحیح ہے
i think he is right,سب خوفزدہ تھے
were all scared,میں ریاضی میں کمزور ہوں
i am weak in math,کیا ہم دوست ہیں
are we friends,زین ایک مصنف ہے
zain is a writer,آپ کی سالگرہ کب ہے
whens your birthday,زین نے اس سے لطف اندوز ہوئے
zain enjoyed it,آپ کی ٹائی ٹیڑھی ہے
your tie is crooked,میں اس کی تلافی کروں گا
i will make up for it,ایک سیکنڈ پر پکڑیں
hold on a second,آج ہوا چل رہی ہے
it is windy today,وہ بینک کے اندر گیا۔
he went into the bank,مجھے امید ہے کہ یہ کام کرتا ہے
i hope it works,میں ایک اضافہ نہیں ملے گا
i wont get a raise,اپنے آپ کو برتاؤ کریں
behave yourself,میں کے بارے میں ایک منٹ کی ضرورت ہے
i need about a minute,کتے کو کھانا نہ کھلائیں
dont feed the dog,اسے دے دو
give it to her,میں نے پارک کے پار کاٹ دیا
i cut across the park,میں نے کافی ہے
i have had enough,وہ ایک خوش آدمی مر گیا
he died a happy man,کیا ہر کوئی تیار ہے
is everybody ready,آپ مصروف تھے
you were busy,وہ شخص شرمندہ ہو گیا
the man blushed,میں ان سب کو پڑھ سکتا ہوں
i can read them all,یہ کب تعمیر کیا گیا تھا
when was it built,میں ہنسوں گا
i wont laugh,ہم ٹام تلاش کرنے کے لئے ہے
we have to find tom,تم دانشمند ہو
you are wise,میں جانتا ہوں کہ ٹام کو کس نے مارا
i know who killed tom,وہ خاموش رہا
he remained silent,زین کو پتہ چل جائے گا
zain will find out,مجھے آپ پر یقین ہے
i believe you,یہ انتہائی ضروری ہے
its terribly urgent,نمک نہیں ہے
there is no salt,زین کا تعلق یہاں سے ہے
zain belongs here,ہم ٹام کو کیا بتائیں
what do we tell tom,مجھے ٹام کو گرفتار کرنا پڑا
i had to arrest tom,میں نے اسے بعد میں پایا
i found it later,مجھے لگتا ہے کہ میں ٹام کو فون کروں گا
i think i will call tom,ہم اسے کیسے تلاش کریں
how do we find it,زین نے ہاتھ اٹھائے
zain raised his hands,ہم بیس بال کھیلتے ہیں
we play baseball,مجھے گھر جانا چاہئے تھا
i shouldve gone home,مجھے نہیں لگتا کیوں
i dont see why,زین ایسا جھٹکا ہے
zain is such a jerk,مجھے یہ پسند نہیں ہے
i dont like that,یہ پہلے ہی اندھیرا ہے
it is already dark,کیا آپ کو اس کی بو آتی ہے
do you smell that,زین چھوڑ دیا
zains left,انہوں نے میرا مذاق اڑایا
they made fun of me,وہ بات کرنے کے لئے رک گئے
they stopped to talk,کا حصہ ڈال رہے تھے
were contributing,جلدی کیا ہے
what is the hurry,میں اس کا مقروض ہوں
i am indebted to him,کل گرمی تھی
it was hot yesterday,یہ واضح نہیں ہے
it isnt obvious,کون مذاق کر رہا ہے
whos joking,اس نے مجھے ایک مثال دی
he gave me an example,یہ آپ کا کام ہے
thats your job,کیا آپ فیس بک پر ہیں
are you on facebook,میں آپ کا ہاتھ پکڑوں
may i hold your hand,زین میرے لئے اچھا ہے
zain is good to me,میں تین بجے آ سکتا ہوں
i can come at three,میں ٹینس کھیل سکتا ہوں
i can play tennis,میں نے اپنے ہاتھ تالیاں بجائیں
i clapped my hands,میرا ایک سوتیلا بھائی ہے
i have a half brother,میں دفتر کا کارکن ہوں
i am an office worker,میں ہر رات خواب دیکھتا ہوں
i dream every night,وہ کوشش کرتا ہے
he tries,زین پیاسا تھا
zain was thirsty,جہاں برف
wheres the ice,یہ خوشگوار نہیں ہوگا
it wont be pleasant,آ رہے تھے
were coming,مجھے مکمل طور پر یقین نہیں ہے
i am not entirely sure,اپنی پنسل نیچے رکھیں
put down your pencil,وہ اچھی طرح گا سکتا ہے
he cant sing well,میں ریکونز سے نفرت کرتا ہوں
i hate raccoons,یہ سفر کافی مشکل ہے
this journey is quite arduous,زین بورنگ ہے
zain is boring,کتا گڑگڑایا
the dog growled,زین کو گانا پسند ہے
zain likes singing,سہانے خواب
sweet dreams,زین ابھی زندہ ہے
zain is still alive,میرا پورا جسم اچچ تا ہے
my whole body itches,روکو اسے
stop that,جو آپ کو یہاں میں جانے دیتے ہیں
who let you in here,زین شرمیلے
zains shy,اس کی طرح مضحکہ خیز
its kind of funny,یہ میرے لئے مثالی ہوگا
that would be ideal for me,آپ کیا دیکھتے ہیں؟
what do you see,میں نے آپ کو اپنا لفظ دیا
i give you my word,یہ کس نے لکھا
who wrote this,کیا وہ آیا ہے
have him come,زین گھبرا گیا
zain panicked,میں انہیں متنبہ کرنا چاہئے
i must warn them,میں آپ کی طرف دیکھتا ہوں
i look up to you,کیا ہم نے کیا
are we done,یہ پولیس ہے
its the cops,وہ اب میرے لئے مسکراتی نہیں ہے
she does not smile for me anymore,جلد واپس آو
come back soon,ہمارے پاس کافی کھانا ہے
we have enough food,زین ایک کمیونسٹ ہے
zain is a communist,یہ اہم ہے
thats important,مجھے نیند آ رہی ہے
i am sleepy,مجھے حقیقت کا پتہ چلا
i found out the truth,میں زین برطرف کرنا چاہتا ہوں
i want zain fired,مجھے چھپانا ہے
i have to hide,روشنی میں قدم رکھیں
step into the light,تقسیم ہونے دیتا ہے
lets split,سب کچھ ٹھیک لگ رہا تھا
everything seemed ok,میں گنگنا رہا ہوں
i am humming,یہ بہت اچھا تھا
that was great,ہم نے اتفاق کیا
we agreed,زین اپنی میز پر ہے
zain is at his desk,وہ چلے گئے
they went away,زین ہاں کہے گا
zain will say yes,اپنا منہ کھولیں
open your mouth,مرنا نہیں
dont die,پرانا شہر جدید سیاح کے لئے ایک خوشگوار بھول بھلیاں ہے
the old city is a delightful maze for the modern tourist,ہدایات پڑھیں
read the directions,میں انتظار کرنے کا عادی ہوں
i am used to waiting,میں اپنا بدلہ لوں گا
i will have my revenge,زانوبہت ہی مکروہ
zains very effusive,صرف زین کو اکیلا چھوڑ دیں
just leave zain alone,وہ مجھے گھورتی رہی
she stared at me,اسے میرے پاس پھینک دو
throw it to me,میں ایک پولیس اہلکار ہوں
i am a policeman,زین میری مدد نہیں کرتا
zain doesnt help me,اپنے ہاتھوں کو دیکھو
look at your hands,کیا آپ گھوڑے پر سوار ہو سکتے ہیں
can you ride a horse,زین بے ہوش ہو گیا
zain fainted,وہ ایک صحت مند بچہ ہے
he is a healthy child,کوئی بھی میرا بلاگ نہیں پڑھتا
no one reads my blog,کیا آپ کی ماں جانتی ہے
does your mother know,اندر جانا
go inside,آپ کو اپنی چیزیں معلوم ہیں
you know your stuff,یہ بات ہے
thats the point,میں آپ کو ایسا سبق سکھادوں گا جیسا کہ آپ کبھی نہیں بھولیں گے
i will teach you such a lesson as you will never forget,زین ہنس نے لگا
zain giggled,زین دشمن نہیں ہے
zain isnt the enemy,زین میں نہیں ہے
zain isnt in,زین خوش نظر آتا ہے
zain looks pleased,اس کا چہرہ روشن ہو گیا
her face lit up,کیوں نہیں زین آسکتا ہے
why cant zain come,وہ ایک معالج نہیں ہے
he is not a physician,میں معجزوں پر یقین رکھتا ہوں
i believe in miracles,ہر کوئی جانتا ہے کہ
everybody knows that,والدین یہ کیسے کرتے ہیں
how do parents do it,ٹام کو بھول جاؤ
forget tom,غور کریں کہ یہ کیا گیا ہے
consider it done,میں نے اپنی ماں کو متنبہ کرنے کی ضرورت ہے
i need to warn my mom,مجھے نوڈلز پسند ہیں
i like noodles,میں طلاق یافتہ ہوں
i am divorced,زین نے اپنی کمپنی فروخت کر دی
zain sold his company,یہ واقعی خوفناک تھا
it was really scary,کیا اس سے بہت تکلیف ہوتی ہے
does it hurt a lot,وہ بہت لچکدار ہے
he is very flexible,زین ایک وگ پہنتا ہے
zain wears a wig,کہ مزہ آئے گا
thatll be fun,وہ مجھ سے بہتر
better him than me,وہ ایسا کیوں کر رہا ہے
why is he doing this,آپ کب تک رہ سکتے ہیں
how long can you stay,زین کی ٹانگیں چھوٹی ہوتی ہیں
zain has short legs,یہ اس کی ہے
thats hers,میں خود کر سکتا ہوں
i can do it by myself,میرے انتخاب کیا ہیں
what are my choices,اس کی آواز بلند ہے
he has a loud voice,وہ اپ ٹو ڈیٹ ہے
he is up to date,میں معافی چاہتا ہوں۔ میں یہاں اجنبی ہوں۔
i am sorry. i am not from here,مضبوطی سے پکڑنا
hold firmly,یہ جاننا اچھا ہے
thats good to know,وہ ٹھنڈے ہیں
they are cold,زین نے کمرے کی صفائی کی
zain cleaned the room,کیا آپ تفریح کر رہے ہیں
are you having fun,میں ساری رات اٹھ رہا تھا
i was up all night,اس نے اپنے والد سے بدلہ لیا
he avenged his father,یہ اچھا اور ٹھنڈا
its nice and cool,میں چار بجے جا رہا ہوں
i am leaving at four,وہ بہت محنت کرتی ہے
she works very hard,میں تقریبا مکمل ہو گیا ہوں
i am almost done,وہ ہم صحیح ہو جائے گا
he may we will be right,بہت سی جانیں ضائع ہو گئیں۔
many lives were lost,کتے کا خون بہہ رہا ہے
the dog is bleeding,وہ تیزی سے دوڑ سکتا ہے
he can run fast,میں کیوں نہیں جا سکتا
why cant i go,ہر کوئی مجھ سے نفرت کرتا ہے
everyone hates me,زین ہمارا رہنما ہے
zain is our guide,مجھے جلدی کرنی چاہئے
i must hurry,ریڈیو آن کریں
turn on the radio,یہ اس کا کاروبار ہے
thats his business,میں تم سے جھوٹ نہیں بولوں گا
i wont lie to you,اپنی قمیض کو بٹن اپ کریں
button up your shirt,مجھے موسیقی سننا پسند ہے
i love listening to music,مجھے انڈے پسند نہیں
i dislike eggs,میں نے اپنی چابیاں گرا دیں
i dropped my keys,میں مال گیا ہوں
i have been to the mall,वह लड़की कौन है?
whos that girl,وہ تیزی سے چلتا ہے
he walks fast,ہر کوئی جا رہا ہے
everyones going,میں نے اپنی پتلون پہن لی
i put on my trousers,کیا آپ کچھ اور آرڈر کرنا چاہیں گے
would you like to order anything else,زین رونے لگا
zain started to cry,میں اپنی روح کو فروخت نہیں کروں گا
i wont sell my soul,میں آپ کے لئے اسے واپس لے دو
let me take it back for you,میرے دادا ابو کو کتابیں پڑھنے کا شوق ہے۔
my grandfather likes reading books,مجھے دودھ اور روٹی پسند ہے
i like milk and bread,زین ایک ٹویوٹا چلاتا ہے
zain drives a toyota,میں اسے استعمال کرنا نہیں جانتا
i don’t know how to use it,کوشش کریں اور یہ کریں
try and do it,زین نے آج استعفیٰ دے دیا
zain resigned today,مجھے پورا یقین نہیں ہے
i am not quite sure,میں یہ ثابت کر سکتا ہوں
i can prove it,ٹھیک ہے میں یہ کروں گا
all right i will do it,سانتا کلاز اصلی ہے
is santa claus real,وہ ایک پیانوسٹ ہے
she is a pianist,میں اب یہ نہیں کر سکتا
i cant do it now,میں زین والدین سے نفرت کرتا ہوں
i hate zains parents,وہ سستا لگتا تھا۔
it looked cheap,میں آپ کو بہت پسند کرتا ہوں
i like you a lot,میں نے اپنی چابی کھو دی
